File Name	X	Y	Z	V	SA	ZSA	XY	EV	PrintTime
rotated_x_5_BrownBear	17.732	58.366	33.058	10079.58	3694.376	122129.838	1034.911	34212.399	34.05
rotated_x_5_Camel	21.982	64.423	93.586	18926.714	7393.328	691910.539	1416.154	132531.948	88.017
rotated_x_5_Cannon	80	59.247	57.691	66161.235	16618.57	958737.977	4739.769	273440.9	150.717
rotated_x_5_Cat	89.016	66.707	63.585	82622.287	11911.895	757417.712	5938.003	377567.849	116.7
rotated_x_5_Character1	85	129.332	120.172	171786.874	41004.66	4927603.766	10993.214	1321074.249	363.483
rotated_x_5_Character2	89	100.198	92.957	173283.298	42163.324	3919393.531	8917.645	828961.199	372.667
rotated_x_5_ChessBishop	31.752	63.914	35.525	12794.466	4820.958	171262.868	2029.392	72093.469	39.55
rotated_x_5_ChessKing	36.504	43.399	80.076	19390.32	6184.433	495227.01	1584.221	126858.71	71.4
rotated_x_5_ChessKnight	31.752	53.895	32.052	14938.051	4618.923	148044.209	1711.271	54849.098	40.733
rotated_x_5_ChessPawn	27	44.124	41.847	7529.689	3098.643	129667.407	1191.354	49854.031	36.25
rotated_x_5_Chicken	139.859	139.645	141.867	736649.159	50966.633	7230507.63	19530.597	2770756.519	665.017
rotated_x_5_ChristmasTree1	72.738	104.922	70.433	123672.84	18582.316	1308807.983	7631.883	537536.259	128.733
rotated_x_5_ChristmasTree2	56.25	104.052	63.168	56338.429	12176.944	769192.7	5852.931	369717.703	117.65
rotated_x_5_Cone1	129.815	180.186	147.919	959937.502	63013.434	9320869.1	23390.876	3459949.476	605.633
rotated_x_5_Cone2	136.041	188.697	140.472	1082047.457	68108.656	9567358.13	25670.417	3605974.381	798.067
rotated_x_5_Cone3	60	135.612	159.29	216768.131	33913.805	5402138.518	8136.711	1296098.722	487.7
rotated_x_5_Cow1	19.915	49.3	68.938	14757.157	4558.771	314272.118	981.807	67683.741	58.25
rotated_x_5_Cow2	117.797	148.853	142.206	599617.363	45542.402	6476401.189	17534.483	2493508.011	585.767
rotated_x_5_Cup1	132.531	156.393	200.836	1084936.234	83008.672	16671138.37	20726.837	4162697.319	917.617
rotated_x_5_Cup2	56.833	151.147	175.844	199538.721	35842.133	6302607.932	8590.141	1510520.86	439.6
rotated_x_5_Cup3	93.132	190.183	192.43	740039.2	62090.082	11947971.29	17712.116	3408335.909	761.883
rotated_x_5_Cup4	94.348	177.508	199.595	714724.721	59614.098	11898705	16747.65	3342755.35	863.983
rotated_x_5_Cup5	45.545	185.593	90.142	135525.162	31504.158	2839845.612	8452.845	761955.801	362.767
rotated_x_5_Cylinder1	128	135.93	186.172	2073706.053	91842.047	17098455.12	17399.008	3239215.2	891.75
rotated_x_5_Cylinder2	120	173.349	209.822	1792241.704	89380.344	18753998.5	20801.847	4364693.507	893.217
rotated_x_5_Cylinder3	133.148	157.921	194.371	2224922.613	101486.313	19725959.11	21026.863	4087004.77	1060.533
rotated_x_5_Cylinder4	120	198.009	149.265	1729858.912	90359.109	13487449.65	23761.128	3546704.021	1018.683
rotated_x_5_Cylinder5	120	130.904	188.757	1223194.96	83903.891	15837445.72	15708.43	2965075.859	653.6
